,comment,currency,amount,text_length,text_wordcount,tokenized_comment
701,I donated because we should help people in need.we can help them in all sorts of ways.,SGD,10000,86.0,17.0,"['i', 'donated', 'because', 'we', 'should', 'help', 'people', 'in', 'need', 'we', 'can', 'help', 'them', 'in', 'all', 'sorts', 'of', 'ways']"
702,everyone deserves an equal chance to live their best life,SGD,1500,57.0,10.0,"['everyone', 'deserves', 'an', 'equal', 'chance', 'to', 'live', 'their', 'best', 'life']"
703,"It's a long road to recovery, not only for Alex but also for SunSun and family. Hopefully, my contribution provide some support/relief.",SGD,2000,135.0,22.0,"['it', 's', 'a', 'long', 'road', 'to', 'recovery', 'not', 'only', 'for', 'alex', 'but', 'also', 'for', 'sunsun', 'and', 'family', 'hopefully', 'my', 'contribution', 'provide', 'some', 'support', 'relief']"
704,"Donated on behalf of Veralyn Kow Yuan Hui and Valdrien Kow Yuan Guo.

Learn to give to help someone when needed.

May God blessed Alex a Miracle Speedy Recovery 🙏",SGD,5000,162.0,28.0,"['donated', 'on', 'behalf', 'of', 'veralyn', 'kow', 'yuan', 'hui', 'and', 'valdrien', 'kow', 'yuan', 'guo', 'learn', 'to', 'give', 'to', 'help', 'someone', 'when', 'needed', 'may', 'god', 'blessed', 'alex', 'a', 'miracle', 'speedy', 'recovery']"
705,Donate to the needy when still can,SGD,1000,34.0,7.0,"['donate', 'to', 'the', 'needy', 'when', 'still', 'can']"
707,As a Muslim during Ramadan month we try to do the donation as much as you can afford to help others. Donation can be done not only Ramadan. But as long you sincerely want to give.,SGD,5000,179.0,36.0,"['as', 'a', 'muslim', 'during', 'ramadan', 'month', 'we', 'try', 'to', 'do', 'the', 'donation', 'as', 'much', 'as', 'you', 'can', 'afford', 'to', 'help', 'others', 'donation', 'can', 'be', 'done', 'not', 'only', 'ramadan', 'but', 'as', 'long', 'you', 'sincerely', 'want', 'to', 'give']"
708,My heart aches for all the innocent lives lost and those who are suffering Let’s all do whatever we can to come together and help,SGD,10000,129.0,25.0,"['my', 'heart', 'aches', 'for', 'all', 'the', 'innocent', 'lives', 'lost', 'and', 'those', 'who', 'are', 'suffering', 'let', 's', 'all', 'do', 'whatever', 'we', 'can', 'to', 'come', 'together', 'and', 'help']"
709,"All the best, and god bless.",SGD,2000,28.0,6.0,"['all', 'the', 'best', 'and', 'god', 'bless']"
710,i want to see the world happy healthy n safe.,SGD,50000,45.0,10.0,"['i', 'want', 'to', 'see', 'the', 'world', 'happy', 'healthy', 'n', 'safe']"
711,Give them a chance to see this beautiful world.,MYR,30000,47.0,9.0,"['give', 'them', 'a', 'chance', 'to', 'see', 'this', 'beautiful', 'world']"
712,I care,SGD,2000,6.0,2.0,"['i', 'care']"
713,Wish him a speedy recovery,SGD,3000,26.0,5.0,"['wish', 'him', 'a', 'speedy', 'recovery']"
714,I believe in love ❤️🤗,SGD,3000,21.0,5.0,"['i', 'believe', 'in', 'love']"
715,Wishing the best...,SGD,25000,19.0,3.0,"['wishing', 'the', 'best']"
716,I love cats,SGD,3000,11.0,3.0,"['i', 'love', 'cats']"
717,I am a working mum and often cant find time to contribute charity in terms of effort & time. The least I can do is contribute monetary aid wherever needed. In Syaa Allah this charity is blessed by Allah and benefit those in need.,SGD,5000,229.0,44.0,"['i', 'am', 'a', 'working', 'mum', 'and', 'often', 'cant', 'find', 'time', 'to', 'contribute', 'charity', 'in', 'terms', 'of', 'effort', 'time', 'the', 'least', 'i', 'can', 'do', 'is', 'contribute', 'monetary', 'aid', 'wherever', 'needed', 'in', 'syaa', 'allah', 'this', 'charity', 'is', 'blessed', 'by', 'allah', 'and', 'benefit', 'those', 'in', 'need']"
718,I care about Baby Avery.,SGD,7500,24.0,5.0,"['i', 'care', 'about', 'baby', 'avery']"
719,"I donated because i believe animals are campanions of us .
To brighten up or lives .
To comfort us whenever we are down. 
They are angels sent by god for us.",SGD,5000,157.0,30.0,"['i', 'donated', 'because', 'i', 'believe', 'animals', 'are', 'campanions', 'of', 'us', 'to', 'brighten', 'up', 'or', 'lives', 'to', 'comfort', 'us', 'whenever', 'we', 'are', 'down', 'they', 'are', 'angels', 'sent', 'by', 'god', 'for', 'us']"
