,comment,currency,amount,text_length,text_wordcount,tokenized_comment
966,I donated because I support my good friend James Chow in his charitable cause!,SGD,10000,78.0,14.0,"['i', 'donated', 'because', 'i', 'support', 'my', 'good', 'friend', 'james', 'chow', 'in', 'his', 'charitable', 'cause']"
967,God bless,SGD,4400,9.0,2.0,"['god', 'bless']"
968,"Help others when i have the ability to help,",SGD,10000,44.0,9.0,"['help', 'others', 'when', 'i', 'have', 'the', 'ability', 'to', 'help']"
970,Hopefully you can get well soon. Your mum need you to go back msia to see her. Stay safe and stay strong.,SGD,500,105.0,22.0,"['hopefully', 'you', 'can', 'get', 'well', 'soon', 'your', 'mum', 'need', 'you', 'to', 'go', 'back', 'msia', 'to', 'see', 'her', 'stay', 'safe', 'and', 'stay', 'strong']"
971,Kids deserve a chance,SGD,5000,21.0,4.0,"['kids', 'deserve', 'a', 'chance']"
972,"Make a move, it give hopes.",SGD,1000,27.0,6.0,"['make', 'a', 'move', 'it', 'give', 'hopes']"
973,Do good and good will come to you.,SGD,5000,34.0,8.0,"['do', 'good', 'and', 'good', 'will', 'come', 'to', 'you']"
974,on behalf of my mum,SGD,10000,19.0,5.0,"['on', 'behalf', 'of', 'my', 'mum']"
975,Get well soon!,SGD,5000,14.0,3.0,"['get', 'well', 'soon']"
976,I hope he can getting well becoz his parents waiting him in Malaysia,SGD,1000,68.0,13.0,"['i', 'hope', 'he', 'can', 'getting', 'well', 'becoz', 'his', 'parents', 'waiting', 'him', 'in', 'malaysia']"
977,It’s difficult time for many the past two years. Let’s support each other! Get well soon.,SGD,25000,89.0,16.0,"['it', 's', 'difficult', 'time', 'for', 'many', 'the', 'past', 'two', 'years', 'let', 's', 'support', 'each', 'other', 'get', 'well', 'soon']"
978,Please get well soon,SGD,10000,20.0,4.0,"['please', 'get', 'well', 'soon']"
979,Just want to contribute back to society,SGD,50000,39.0,7.0,"['just', 'want', 'to', 'contribute', 'back', 'to', 'society']"
980,Fellow malaysian,SGD,5000,16.0,2.0,"['fellow', 'malaysian']"
981,I care Tengah Island! ❤️,MYR,50000,24.0,5.0,"['i', 'care', 'tengah', 'island']"
982,Share a helping hand,SGD,1000,20.0,4.0,"['share', 'a', 'helping', 'hand']"
984,"I donated because, I know this boy and family.",SGD,50000,46.0,9.0,"['i', 'donated', 'because', 'i', 'know', 'this', 'boy', 'and', 'family']"
986,hope you get well soon💪,SGD,1000,23.0,5.0,"['hope', 'you', 'get', 'well', 'soon']"
987,I have recovered from numerous hospital visits and covered by insurance. I feel blessed. Just wish to help a fellow Malaysian as we are both living in Singapore away from our parents. He is a filial son too. Hope to see him recover soon.,SGD,5000,237.0,44.0,"['i', 'have', 'recovered', 'from', 'numerous', 'hospital', 'visits', 'and', 'covered', 'by', 'insurance', 'i', 'feel', 'blessed', 'just', 'wish', 'to', 'help', 'a', 'fellow', 'malaysian', 'as', 'we', 'are', 'both', 'living', 'in', 'singapore', 'away', 'from', 'our', 'parents', 'he', 'is', 'a', 'filial', 'son', 'too', 'hope', 'to', 'see', 'him', 'recover', 'soon']"
988,Every bit goes a long way,SGD,2000,25.0,6.0,"['every', 'bit', 'goes', 'a', 'long', 'way']"
989,Get well soon young man! You can do it!,SGD,5000,39.0,9.0,"['get', 'well', 'soon', 'young', 'man', 'you', 'can', 'do', 'it']"
991,Hope he can speedy recovery,SGD,5000,27.0,5.0,"['hope', 'he', 'can', 'speedy', 'recovery']"
992,Hope he got chances go back to hometown and gather with his family again,SGD,1000,72.0,14.0,"['hope', 'he', 'got', 'chances', 'go', 'back', 'to', 'hometown', 'and', 'gather', 'with', 'his', 'family', 'again']"
994,Support to his family..,SGD,20000,23.0,4.0,"['support', 'to', 'his', 'family']"
995,hope he gets better soon,SGD,2000,24.0,5.0,"['hope', 'he', 'gets', 'better', 'soon']"
997,Hope he will get well soon！,SGD,1000,27.0,6.0,"['hope', 'he', 'will', 'get', 'well', 'soon']"
999,Just want to help.,SGD,1000,18.0,4.0,"['just', 'want', 'to', 'help']"
